2020,AnimalEthicsProject,CAAmt,Employee2000,Employee2001,Employee2002,Employee2003,Employee2004,Employee2005,Employee2006,Employee2007,Employee2008,Employee2009,Employee2010,Employee2011,Employee2012,Employee2013,Employee2014,Employee2015,Employee2016,Employee2017,Employee2018,Employee2019,Employee2020,Employee2021,Employee2022,EmployeeGrowthPct2000,EmployeeGrowthPct2001,EmployeeGrowthPct2002,EmployeeGrowthPct2003,EmployeeGrowthPct2004,EmployeeGrowthPct2005,EmployeeGrowthPct2006,EmployeeGrowthPct2007,EmployeeGrowthPct2008,EmployeeGrowthPct2009,EmployeeGrowthPct2010,EmployeeGrowthPct2011,EmployeeGrowthPct2012,EmployeeGrowthPct2013,EmployeeGrowthPct2014,EmployeeGrowthPct2015,EmployeeGrowthPct2016,EmployeeGrowthPct2017,EmployeeGrowthPct2018,EmployeeGrowthPct2019,EmployeeGrowthPct2020,EmployeeGrowthPct2021,EmployeeGrowthPct2022,FinancialMonitoringRating,HumanEthicsProject,IncorporationYear,InternationalProject,NoteText,NoteType,OrgID,OrgName,OrganizationID,ProjectCompleteDate,ProjectNo,ProjectStartDate,ProjectType,Province,Revenue2000,Revenue2001,Revenue2002,Revenue2003,Revenue2004,Revenue2005,Revenue2006,Revenue2007,Revenue2008,Revenue2009,Revenue2010,Revenue2011,Revenue2012,Revenue2013,Revenue2014,Revenue2015,Revenue2016,Revenue2017,Revenue2018,Revenue2019,Revenue2020,Revenue2021,Revenue2022,RevenueGrowthPct2000,RevenueGrowthPct2001,RevenueGrowthPct2002,RevenueGrowthPct2003,RevenueGrowthPct2004,RevenueGrowthPct2005,RevenueGrowthPct2006,RevenueGrowthPct2007,RevenueGrowthPct2008,RevenueGrowthPct2009,RevenueGrowthPct2010,RevenueGrowthPct2011,RevenueGrowthPct2012,RevenueGrowthPct2013,RevenueGrowthPct2014,RevenueGrowthPct2015,RevenueGrowthPct2016,RevenueGrowthPct2017,RevenueGrowthPct2018,RevenueGrowthPct2019,RevenueGrowthPct2020,RevenueGrowthPct2021,RevenueGrowthPct2022
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 1,BusinessCaseSummary,0,0,0,2009-08-30 20:00,0,2007-09-30 20:00,IRAP,BC,,,,,,,94080.78814,12927.00382,21031.20007,62897.35178,41399.97374,1671.22317,50872.04633,5630.637626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 2,BusinessCaseSummary,0,0,0,2009-08-31 20:00,0,2007-10-01 20:00,IRAP,BC,,,,,,,49533.99066,88460.80294,8873.803651,29265.47147,58208.87285,39782.02514,88794.43229,80336.29572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 3,BusinessCaseSummary,0,0,0,2009-09-01 20:00,0,2007-10-02 20:00,IRAP,BC,,,,,,,72340.20071,95011.57083,98439.0794,63117.56279,92655.4013,43465.96898,77142.68096,94854.70872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 4,BusinessCaseSummary,0,0,0,2009-09-02 20:00,0,2007-10-03 20:00,IRAP,BC,,,,,,,47471.99284,62673.39837,32934.18594,32193.70232,58943.38347,37356.87226,71648.9758,46779.50052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 5,BusinessCaseSummary,0,0,0,2009-09-03 20:00,0,2007-10-04 20:00,IRAP,SK,,,,,,,23913.60986,60903.43533,64608.94986,45524.92214,50616.93216,23812.83245,26926.8492,70377.79098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 6,BusinessCaseSummary,0,0,0,2009-09-04 20:00,0,2007-10-05 20:00,IRAP,BC,,,,,,,78640.95483,70607.15922,97223.65779,21991.4886,63686.5832,78858.45296,5471.296958,22549.10981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 7,BusinessCaseSummary,0,0,0,2009-09-05 20:00,0,2007-10-06 20:00,IRAP,BC,,,,,,,1339.428155,65703.2849,25807.28929,56746.91398,68986.09615,89393.29637,78116.91865,31918.60205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 8,BusinessCaseSummary,0,0,0,2009-09-06 20:00,0,2007-10-07 20:00,IRAP,YT,,,,,,,68767.18069,19487.50006,8335.623106,35512.70286,35803.93831,24796.90776,49279.10582,54642.74978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 9,BusinessCaseSummary,0,0,0,2009-09-07 20:00,0,2007-10-08 20:00,IRAP,BC,,,,,,,70620.08743,99860.14505,75015.34262,91373.3659,19740.60984,29433.91766,91127.62585,94355.34679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 10,BusinessCaseSummary,0,0,0,2009-09-08 20:00,0,2007-10-09 20:00,IRAP,BC,,,,,,,56672.21105,88945.67026,71170.40318,34046.9043,60542.03239,52265.62352,22762.01462,73238.42175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
